search1,seller,register,name,price,category,rnp
갈치웜,포항낚시프라자,등록일 2019.06.,마리아 마마웜 글로우 피쉬/UV피쉬 플랫피쉬 갈치 웜,"7,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰15', '구매건수2']"
갈치웜,토리피싱,등록일 2021.07.,티렉스 케이무라 갈치웜 UV 2.5/3인치 풀치웜,"3,600원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰7']
갈치웜,카인드피싱,등록일 2021.06.,F-AMI YAHADA 야하다 갈치웜 고신축성 갈치낚시 갈치 루어,"1,700원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['구매건수3']
갈치웜,오마이갓피싱,등록일 2020.11.,오마이갓피싱 볼락낚시 풀치웜 아징낚시,900원,"['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰846']
갈치웜,아싸낚시,등록일 2019.10.,UST 갈치웜 갈치 야광 지그헤드 채비 바다낚시용품,"2,920원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰43', '구매건수1']"
갈치웜,오마이갓피싱,등록일 2018.01.,(오마이갓피싱) 블링블링 쉐드웜 4인치,"1,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰332']
갈치웜,다낚,등록일 2021.07.,"워터맨 트위스터 플렉스 TWF35 [풀치,갈치웜]","3,800원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,,등록일 2021.07.,파미 야하다 갈치웜 웜 풀치웜 갈치루어 소프트베이트,"1,720원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,만물피싱,등록일 2021.06.,파미 야하다 YAHADA 갈치 웜 야광웜 갈치루어 축광,"1,700원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,피싱캠프,등록일 2019.08.,워터맨 뉴 새드플렉스 갈치웜 풀치웜,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰9', '구매건수2']"
갈치웜,09피싱,등록일 2020.06.,[09피싱]F-AMI YAHADA 갈치웜 갈치 루어 낚시,"2,520원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰8', '구매건수9']"
갈치웜,다낚,등록일 2021.07.,"워터맨 트위스터 플렉스 TWF30 [풀치,갈치웜]","3,800원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,다낚,등록일 2021.07.,"워터맨 트위스터 플렉스 TWF25 [풀치,갈치웜]","3,800원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,루어스타일,등록일 2019.04.,워터맨 로바새드 2.1g 갈치웜 풀치웜 루어스타일,"3,480원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
